Player,Club,POS,MINS,G,A,SHTS,G/90min,A/90min,OFF,YC,RC,Year,Season
Danny Koevermans,TOR,F,1186,9,2,39,0.68,0.15,16,2,0,2012,reg
Eddie Gaven,CLB,M,2990,9,2,55,0.27,0.06,10,2,0,2012,reg
CJ Sapong,CHI,F,2210,9,2,61,0.37,0.08,16,2,0,2012,reg
Brad Davis,HOU,M,2523,8,12,53,0.29,0.43,0,3,0,2012,reg
Jaime Castrillón,COL,M,2417,8,4,50,0.3,0.15,0,3,1,2012,reg
Jack McInerney,PHI,F,1630,8,3,42,0.44,0.17,29,4,1,2012,reg
Chris Rolfe,CHI,F,1760,8,3,58,0.41,0.15,5,1,0,2012,reg
Lionard Pajoy,DC ,F,2475,8,3,59,0.29,0.11,34,5,0,2012,reg
Simon Dawkins,SJ ,M,1847,8,1,65,0.39,0.05,3,2,0,2012,reg
Dwayne De Rosario,DC ,M,2195,7,12,81,0.29,0.49,34,4,0,2012,reg
David Beckham,LA ,M,1985,7,9,40,0.32,0.41,0,7,0,2012,reg
Ryan Johnson,TOR,F,2769,7,5,67,0.23,0.16,21,6,0,2012,reg
Juninho,LA ,M,2666,7,4,52,0.24,0.14,0,6,0,2012,reg
Maicon Santos,DC ,F,1470,7,3,64,0.43,0.18,21,4,0,2012,reg
Darren Mattocks,VAN,F,1300,7,1,38,0.48,0.07,12,7,2,2012,reg
Kris Boyd,POR,F,1893,7,1,63,0.33,0.05,28,4,0,2012,reg
Marco Pappa,CHI,M,1615,6,5,69,0.33,0.28,3,5,0,2012,reg
Nick DeLeon,TOR,M,2175,6,4,44,0.25,0.17,6,0,0,2012,reg
Fabian Castillo,DAL,M-F,1892,6,3,36,0.29,0.14,14,7,0,2012,reg
Dominic Oduro,CHI,M,1823,6,3,54,0.3,0.15,31,3,0,2012,reg
Sanna Nyassi,MTL,M,1716,6,3,58,0.31,0.16,20,9,0,2012,reg
Omar Cummings,COL,F,2000,6,2,76,0.27,0.09,22,1,0,2012,reg
Darlington Nagbe,CLB,M,2777,6,1,50,0.19,0.03,6,0,0,2012,reg
Gabriel Gómez,PAN,M,1578,6,0,30,0.34,0.0,2,5,0,2012,reg
Hamdi Salihi,DC ,F,945,6,0,32,0.57,0.0,6,3,0,2012,reg
Graham Zusi,SKC,M,2788,5,15,82,0.16,0.48,4,3,0,2012,reg
Federico Higuain,DC,F,1004,5,7,32,0.45,0.63,7,2,0,2012,reg
Camilo Sanvezzo,VAN,F,1719,5,7,64,0.26,0.37,23,4,0,2012,reg
Joel Lindpere,NY ,M,2385,5,5,28,0.19,0.19,4,5,0,2012,reg
Brian Ching,HOU,F,1385,5,5,35,0.32,0.32,22,0,0,2012,reg
Eric Hassli,TOR,F,1469,5,5,49,0.31,0.31,24,8,0,2012,reg
Luis Silva,TOR,F,2061,5,5,50,0.22,0.22,5,1,0,2012,reg
Mike Magee,LA ,M,2078,5,4,56,0.22,0.17,8,2,0,2012,reg
Marco Di Vaio,MTL,F,1366,5,3,49,0.33,0.2,40,1,0,2012,reg
Kamani Hill,COL,F,582,5,2,15,0.77,0.31,2,1,0,2012,reg
Sébastien Le Toux,NY ,F,2522,5,2,34,0.18,0.07,18,0,0,2012,reg
Lee Nguyen,MIA,M,2386,5,2,60,0.19,0.08,0,3,0,2012,reg
Freddy Adu,PHI,F,1468,5,1,33,0.31,0.06,3,2,1,2012,reg
Teal Bunbury,NE,F,1247,5,1,50,0.36,0.07,9,2,0,2012,reg
David Estrada,SEA,M-F,1027,5,0,25,0.44,0.0,6,1,0,2012,reg
Bright Dike,POR,F,896,5,0,29,0.5,0.0,8,0,0,2012,reg
Felipe,DC,M,2652,4,10,59,0.14,0.34,3,5,0,2012,reg
Patrick Nyarko,CHI,F-M,2756,4,7,40,0.13,0.23,8,3,0,2012,reg
Jackson Goncalves,DAL,M,1732,4,7,56,0.21,0.36,6,4,0,2012,reg
Boniek Garcia,HOU,M,1530,4,6,30,0.24,0.35,4,0,0,2012,reg
Sherjill MacDonald,CHI,F,1033,4,4,32,0.35,0.35,12,2,0,2012,reg
Kyle Beckerman,RSL,M,2592,4,4,35,0.14,0.14,1,6,1,2012,reg
Brad Evans,SEA,D-M,2371,4,4,35,0.15,0.15,2,2,0,2012,reg
Álvaro Fernández,CHI,M,1863,4,3,29,0.19,0.14,4,2,1,2012,reg
Dane Richards,NY ,M,2402,4,3,30,0.15,0.11,11,9,0,2012,reg
Davy Arnaud,MTL,M,2765,4,3,40,0.13,0.1,5,7,0,2012,reg
Calen Carr,HOU,F,1512,4,2,29,0.24,0.12,5,6,0,2012,reg
Macoumba Kandji,HOU,F,1630,4,2,34,0.22,0.11,23,3,0,2012,reg
Milovan Mirosevic,CLB,M,2140,4,2,46,0.17,0.08,3,2,0,2012,reg
Bernardo Corradi,MTL,F,619,4,1,13,0.58,0.15,12,3,0,2012,reg
Antoine Hoppenot,PHI,F,817,4,1,18,0.44,0.11,18,2,0,2012,reg
Jacob Peterson,KC ,F,942,4,1,24,0.38,0.1,2,0,1,2012,reg
Justin Meram,RSL,M,960,4,1,27,0.38,0.09,1,3,0,2012,reg
Andrew Wenger,MTL,D-M,823,4,0,20,0.44,0.0,9,0,0,2012,reg
Juan Pablo Angel,CHV,F,1004,4,0,50,0.36,0.0,10,0,0,2012,reg
Mauro Rosales,SEA,M,2031,3,13,16,0.13,0.58,2,1,0,2012,reg
Marvin Chávez,SJ ,M,1910,3,13,42,0.14,0.61,5,5,0,2012,reg
Javier Morales,RSL,M,2119,3,9,31,0.13,0.38,4,5,0,2012,reg
Jan Gunnar Solli,NY ,D,1865,3,5,16,0.14,0.24,1,2,0,2012,reg
Kelyn Rowe,NE,M,1897,3,5,43,0.14,0.24,5,1,0,2012,reg
Shalrie Joseph,CHV,M,2561,3,4,22,0.11,0.14,0,7,0,2012,reg
Jack Jewsbury,POR,M,2765,3,4,35,0.1,0.13,1,5,0,2012,reg
Miller Bolaños,ECU,M,1858,3,4,68,0.15,0.19,3,5,0,2012,reg
Will Johnson,RSL,D,2087,3,3,36,0.13,0.13,0,4,1,2012,reg
Dax McCarty,NSH,M,2918,3,3,40,0.09,0.09,3,6,0,2012,reg
Juan Agudelo,MIA,F,1570,3,3,44,0.17,0.17,6,1,0,2012,reg
Emilio Rentería,CLB,F,1542,3,3,50,0.18,0.18,17,4,0,2012,reg
Tony Cascio,COL,M,1692,3,3,53,0.16,0.16,6,1,0,2012,reg
Drew Moor,COL,D,3060,3,2,17,0.09,0.06,3,3,0,2012,reg
Barry Robson,VAN,M,1421,3,2,32,0.19,0.13,4,2,0,2012,reg
Gershon Koffie,VAN,M,2503,3,2,39,0.11,0.07,1,9,0,2012,reg
Brek Shea,MIA,D,1747,3,2,55,0.15,0.1,14,1,0,2012,reg
Gonzalo Segares,CHI,D,2682,3,1,15,0.1,0.03,2,5,2,2012,reg
Danny Mwanga,PHI,F,1198,3,1,18,0.23,0.08,8,0,0,2012,reg
Aurelien Collin,PHI,D,2490,3,1,28,0.11,0.04,5,6,0,2012,reg
Edson Buddle,LA ,F,969,3,1,31,0.28,0.09,9,0,0,2012,reg
Andre Akpan,COL,F,434,3,0,9,0.62,0.0,2,0,0,2012,reg
Markus Holgersson,NY ,D,2790,3,0,11,0.1,0.0,0,2,0,2012,reg
Matt Hedges,DAL,D,2022,3,0,12,0.13,0.0,1,1,0,2012,reg
Austin Berry,CHI,D,2520,3,0,14,0.11,0.0,0,2,0,2012,reg
Terry Dunfield,TOR,M,2493,3,0,24,0.11,0.0,7,7,0,2012,reg
Jeff Larentowicz,ATL,M,2779,3,0,61,0.1,0.0,0,8,1,2012,reg
David Ferreira,DAL,M,1427,2,9,21,0.13,0.57,2,3,0,2012,reg
Martin Rivero,COL,M,2597,2,8,61,0.07,0.28,4,3,0,2012,reg
Brian Mullan,COL,D,2116,2,7,16,0.09,0.3,5,1,0,2012,reg
Ramiro Corrales,SJ ,M,1667,2,7,20,0.11,0.38,1,7,1,2012,reg
Brandon Barklage,NY ,D,1360,2,5,9,0.13,0.33,0,1,0,2012,reg
Chris Tierney,NE ,D-M,2379,2,5,22,0.08,0.19,0,4,0,2012,reg
Sebastián Grazzini,CHI,M,1103,2,5,30,0.16,0.41,2,4,0,2012,reg
Justin Mapp,MTL,M,1641,2,5,34,0.11,0.27,6,0,0,2012,reg
Brandon McDonald,DC ,D,2963,2,4,18,0.06,0.12,1,4,0,2012,reg
Danny Cruz,DC ,M-F,1868,2,4,39,0.1,0.19,4,2,0,2012,reg
Kosuke Kimura,COL,D,2363,2,3,6,0.08,0.11,0,2,0,2012,reg
Andre Hainault,HOU,D,2035,2,3,12,0.09,0.13,4,2,0,2012,reg
Zach Loyd,DAL,D,2696,2,3,15,0.07,0.1,0,4,2,2012,reg
Reggie Lambe,TOR,M,1845,2,3,22,0.1,0.15,4,3,0,2012,reg
Adam Moffat,HOU,M,1930,2,3,28,0.09,0.14,0,2,1,2012,reg
Khari Stephenson,SJ ,M,1052,2,3,31,0.17,0.26,1,2,0,2012,reg
Conor Casey,COL,F,1156,2,3,38,0.16,0.23,13,1,0,2012,reg
Todd Dunivant,LA ,D,2544,2,2,8,0.07,0.07,3,2,0,2012,reg
Daniel Paladini,CHI,M,691,2,2,13,0.26,0.26,0,1,0,2012,reg
Alain Rochat,VAN,D,2323,2,2,16,0.08,0.08,1,7,0,2012,reg
Diego Fagundez,NE,M,770,2,2,18,0.23,0.23,4,0,0,2012,reg
Jonny Steele,RSL,M,1179,2,2,19,0.15,0.15,1,6,0,2012,reg
Lamar Neagle,MTL,M,1086,2,2,23,0.17,0.17,6,1,0,2012,reg
Paulo Jr.,RSL,F,848,2,2,26,0.21,0.21,12,0,0,2012,reg
Fernando Cárdenas,NE ,F,1016,2,2,27,0.18,0.18,5,1,1,2012,reg
Tony Tchani,CLB,M,1331,2,2,30,0.14,0.14,0,3,0,2012,reg
Torsten Frings,TOR,M,1669,2,2,30,0.11,0.11,1,5,0,2012,reg
Nick LaBrocca,CHV,M,2293,2,2,36,0.08,0.08,5,3,0,2012,reg
Marcelo Sarvas,LA ,M,1951,2,2,41,0.09,0.09,1,5,0,2012,reg
Lewis Neal,DC ,M,717,2,1,7,0.25,0.13,1,1,0,2012,reg
Kenny Miller,VAN,F,716,2,1,11,0.25,0.13,9,0,0,2012,reg
Blake Brettschneider,NE ,F,892,2,1,17,0.2,0.1,10,0,0,2012,reg
Víctor Bernárdez,SJ ,D,2088,2,1,19,0.09,0.04,1,6,0,2012,reg
Bobby Boswell,HOU,D,2930,2,1,20,0.06,0.03,0,4,0,2012,reg
Jamie Smith,COL,M,226,2,0,4,0.8,0.0,0,0,0,2012,reg
Sinisa Ubiparipovic,MTL,F-M,325,2,0,5,0.55,0.0,0,1,0,2012,reg
Tyrone Marshall,COL,D,1128,2,0,7,0.16,0.0,0,3,1,2012,reg
Heath Pearce,CHV,D,2504,2,0,7,0.07,0.0,0,1,0,2012,reg
Ricardo Villar,DAL,M,609,2,0,11,0.3,0.0,1,0,0,2012,reg
A.J. Soares,NE ,D,2611,2,0,11,0.07,0.0,1,3,0,2012,reg
Nat Borchers,RSL,D,2340,2,0,12,0.08,0.0,1,0,0,2012,reg
José Erick Correa,CHV,F,695,2,0,15,0.26,0.0,3,1,0,2012,reg
Scott Sealy,DAL,F,641,2,0,16,0.28,0.0,8,0,0,2012,reg
Andrew Wiedeman,DAL,F,897,2,0,17,0.2,0.0,3,0,0,2012,reg
Alejandro Moreno,CHV,F,1520,2,0,18,0.12,0.0,9,1,0,2012,reg
Chad Marshall,CLB,D,2146,2,0,22,0.08,0.0,3,1,0,2012,reg
Jerry Bengtson,HON,F,942,2,0,22,0.19,0.0,9,1,0,2012,reg
Carlos Valdés,PHI,D,2923,2,0,24,0.06,0.0,1,4,0,2012,reg
Alex,CHI,M,705,2,0,29,0.26,0.0,1,1,0,2012,reg
Shea Salinas,SJ,M,1099,1,7,17,0.08,0.57,1,1,0,2012,reg
Branko Boskovic,DC ,M,1081,1,7,20,0.08,0.58,0,1,1,2012,reg
Sam Cronin,SJ ,M,2578,1,6,25,0.03,0.21,0,3,0,2012,reg
Julian de Guzman,DAL,M,1957,1,5,32,0.05,0.23,1,6,0,2012,reg
Franck Songo'o,POR,M,1732,1,5,47,0.05,0.26,5,7,0,2012,reg
Michael Farfan,PHI,M,2802,1,5,54,0.03,0.16,2,7,0,2012,reg
Justin Morrow,TOR,D,2970,1,4,6,0.03,0.12,0,2,0,2012,reg
Lee Young-Pyo,VAN,D,2970,1,4,7,0.03,0.12,2,2,0,2012,reg
Alex Caskey,SEA,M,1093,1,4,19,0.08,0.33,0,0,0,2012,reg
Rafael Baca,SJ ,M,2551,1,4,24,0.04,0.14,4,4,0,2012,reg
Sal Zizzo,POR,D,1174,1,4,24,0.08,0.31,2,2,0,2012,reg
Pável Pardo,CHI,M,2386,1,4,25,0.04,0.15,1,4,0,2012,reg
Chad Barrett,LA ,F,677,1,3,14,0.13,0.4,3,1,0,2012,reg
Luis Gil,RSL,M,1610,1,3,22,0.06,0.17,0,2,0,2012,reg
Josh Williams,CLB,D,2429,1,3,24,0.04,0.11,1,1,1,2012,reg
Tim Cahill,NY ,M,1080,1,3,24,0.08,0.25,2,2,0,2012,reg
Eric Avila,TOR,M,1366,1,3,27,0.07,0.2,0,1,0,2012,reg
Daniel Woolard,DC ,D,1754,1,2,5,0.05,0.1,1,0,0,2012,reg
Jordan Harvey,LAFC,D,1737,1,2,6,0.05,0.1,1,3,0,2012,reg
Bobby Convey,KC ,M,989,1,2,7,0.09,0.18,0,1,0,2012,reg
Hector Jimenez,CLB,M,920,1,2,8,0.1,0.2,3,0,1,2012,reg
Sheanon Williams,PHI,D-M,2486,1,2,14,0.04,0.07,2,5,1,2012,reg
Hassoun Camara,MTL,D,1663,1,2,15,0.05,0.11,0,2,1,2012,reg
Mehdi Ballouchy,NY ,M,1116,1,2,15,0.08,0.16,0,3,0,2012,reg
Casey Townsend,CHV,F,907,1,2,17,0.1,0.2,6,3,0,2012,reg
Chris Birchall,CLB,M,1515,1,2,18,0.06,0.12,1,4,0,2012,reg
Kalif Alhassan,POR,M,827,1,2,19,0.11,0.22,1,1,0,2012,reg
Ryan Guy,NE ,M,1832,1,2,34,0.05,0.1,7,3,0,2012,reg
Osvaldo Alonso,MIN,M,2688,1,2,41,0.03,0.07,0,8,0,2012,reg
Benny Feilhaber,NE ,M,2147,1,2,42,0.04,0.08,1,5,1,2012,reg
Zarek Valentin,HOU,D,1161,1,1,2,0.08,0.08,0,1,0,2012,reg
Jonathan Top,DAL,F,101,1,1,2,0.89,0.89,0,0,0,2012,reg
Jose Villarreal,LA ,M,122,1,1,3,0.74,0.74,0,1,0,2012,reg
Luiz Camargo,HOU,M,1425,1,1,6,0.06,0.06,2,1,0,2012,reg
Sebastián Miranda,CLB,D,2882,1,1,6,0.03,0.03,1,3,0,2012,reg
Steve Zakuani,SEA,M,320,1,1,7,0.28,0.28,1,0,0,2012,reg
Wilman Conde,NY ,D,1433,1,1,7,0.06,0.06,0,3,0,2012,reg
Marcelo Saragosa,DC ,M,1120,1,1,8,0.08,0.08,0,4,0,2012,reg
Martín Bonjour,VAN,D,2396,1,1,8,0.04,0.04,2,7,0,2012,reg
Sammy Ochoa,SEA,F,324,1,1,9,0.28,0.28,0,0,0,2012,reg
Omar Gonzalez,TOR,D,1147,1,1,10,0.08,0.08,0,2,0,2012,reg
Doneil Henry,TOR,D,1139,1,1,10,0.08,0.08,1,3,0,2012,reg
Zach Scott,SEA,D,1437,1,1,11,0.06,0.06,1,5,1,2012,reg
Quincy Amarikwa,COL,F,601,1,1,12,0.15,0.15,1,0,0,2012,reg
Jorge Villafaña,POR,F,906,1,1,12,0.1,0.1,2,1,0,2012,reg
Jay DeMerit,VAN,D,2726,1,1,13,0.03,0.03,0,4,0,2012,reg
Jair Benítez,DAL,D,2397,1,1,15,0.04,0.04,0,3,1,2012,reg
Jermaine Taylor,HOU,D,2334,1,1,16,0.04,0.04,0,2,0,2012,reg
Andy Rose,VAN,M,1156,1,1,17,0.08,0.08,0,4,0,2012,reg
Jalil Anibaba,NSH,D,2868,1,1,18,0.03,0.03,0,1,1,2012,reg
Brian Carroll,PHI,M,2898,1,1,20,0.03,0.03,0,4,0,2012,reg
Keon Daniel,PHI,M,1517,1,1,20,0.06,0.06,0,0,1,2012,reg
Laurent Courtois ,CHV,M,773,1,1,21,0.12,0.12,1,0,0,2012,reg
Rodney Wallace,POR,D,1224,1,1,25,0.07,0.07,1,3,0,2012,reg
Paulo Nagamura,KC ,M,1757,1,1,37,0.05,0.05,1,4,0,2012,reg
Andrew Jacobson,DAL,M,2597,1,1,40,0.03,0.03,3,6,0,2012,reg
Oriol Rosell,ORL,M-D,127,1,0,1,0.71,0.0,0,0,0,2012,reg
Ruben Luna,DAL,F,208,1,0,2,0.43,0.0,1,0,0,2012,reg
Andrew Jean-Baptiste,POR,D,426,1,0,2,0.21,0.0,0,0,0,2012,reg
Patrick Ianni,SEA,D-M,1357,1,0,2,0.07,0.0,0,1,0,2012,reg
Darrius Barnes,NE ,D,1017,1,0,2,0.09,0.0,0,3,0,2012,reg
Dejan Jakovic,LAFC,D,1861,1,0,2,0.05,0.0,0,4,0,2012,reg
Pat Noonan,LA ,F,174,1,0,3,0.52,0.0,1,0,0,2012,reg
Joseph Nane,COL,M,446,1,0,3,0.2,0.0,0,2,0,2012,reg
Cole Grossman,CLB,M,500,1,0,3,0.18,0.0,0,1,1,2012,reg
Emiliano Bonfigli,RSL,F,288,1,0,5,0.31,0.0,3,0,0,2012,reg
Logan Pause,CHI,M,2424,1,0,5,0.04,0.0,0,0,0,2012,reg
Ugo Ihemelu,DAL,D,900,1,0,5,0.1,0.0,0,0,0,2012,reg
Danny Califf,CHV,D,2034,1,0,6,0.04,0.0,1,2,0,2012,reg
Robbie Russell,DC ,D,1355,1,0,7,0.07,0.0,0,0,0,2012,reg
Jeremy Hall,TOR,D-M,1708,1,0,7,0.05,0.0,0,1,0,2012,reg
Hernán Pertúz,DAL,D,2116,1,0,7,0.04,0.0,0,0,0,2012,reg
Bernardo Añor,CLB,M,493,1,0,7,0.18,0.0,0,3,0,2012,reg
Colin Clark,HOU,M,655,1,0,8,0.14,0.0,0,2,0,2012,reg
Eric Brunner,POR,D,924,1,0,8,0.1,0.0,0,0,0,2012,reg
 Christian Wilhelmsson,LA ,M,303,1,0,9,0.3,0.0,3,0,0,2012,reg
Ricardo Clark,HOU,M,760,1,0,9,0.12,0.0,0,0,0,2012,reg
José Moreno,NE ,F,376,1,0,10,0.24,0.0,4,1,0,2012,reg
Arne Friedrich,CHI,D,1832,1,0,12,0.05,0.0,1,4,1,2012,reg
Paolo Cardozo,CHV,M,692,1,0,13,0.13,0.0,1,0,0,2012,reg
Carlos Rodríguez,DAL,M,1303,1,0,14,0.07,0.0,2,1,0,2012,reg
Josué Martínez,PHI,F,594,1,0,14,0.15,0.0,9,1,0,2012,reg
Dimitry Imbongo,NE ,F,382,1,0,15,0.24,0.0,5,2,0,2012,reg
Olman Vargas,CLB,F,667,1,0,15,0.13,0.0,17,1,0,2012,reg
Long Tan,DC ,F,259,1,0,15,0.35,0.0,4,0,0,2012,reg
Oswaldo Minda,CHV,M,1748,1,0,17,0.05,0.0,0,13,0,2012,reg
David Horst,POR,D,1845,1,0,17,0.05,0.0,0,1,0,2012,reg
Júlio César,KC ,D,2071,1,0,18,0.04,0.0,0,4,0,2012,reg
Chance Myers,KC ,D,2538,0,7,20,0.0,0.25,0,4,0,2012,reg
Roy Miller,NY ,D,1662,0,6,6,0.0,0.32,1,2,0,2012,reg
Steven Beitashour,SJ ,D,2955,0,6,11,0.0,0.18,1,6,0,2012,reg
Eric Alexander,POR,M,1302,0,6,26,0.0,0.41,4,1,0,2012,reg
Hunter Freeman,COL,D,1542,0,5,6,0.0,0.29,0,3,0,2012,reg
Ashtone Morgan,RSL,D,2528,0,5,10,0.0,0.18,2,7,0,2012,reg
Sean Franklin,LA ,D,2937,0,5,17,0.0,0.15,0,2,0,2012,reg
Davide Chiumiento,VAN,M,1276,0,5,22,0.0,0.35,3,0,0,2012,reg
Andy Najar,LAFC,D,2045,0,4,15,0.0,0.18,1,4,0,2012,reg
Ryan Smith,CHV,M,1215,0,4,23,0.0,0.3,0,3,0,2012,reg
Tressor Moreno,SJ ,M,557,0,3,3,0.0,0.48,0,1,0,2012,reg
Rafa Márquez,NY ,M,987,0,3,6,0.0,0.27,0,3,0,2012,reg
Shaun Francis,CLB,D,507,0,3,6,0.0,0.53,1,1,0,2012,reg
Chris Korb,DC ,D,2051,0,3,6,0.0,0.13,1,3,0,2012,reg
Christian Tiffert,SEA,M,978,0,3,7,0.0,0.28,4,4,0,2012,reg
Marc Burch,SEA,D,1824,0,3,8,0.0,0.15,0,3,0,2012,reg
Connor Lade,NY ,D,2088,0,3,8,0.0,0.13,3,4,1,2012,reg
Ned Grabavoy,RSL,M,1946,0,3,10,0.0,0.14,2,0,0,2012,reg
Nemanja Vukovic,CLB,D,1113,0,3,15,0.0,0.24,0,2,0,2012,reg
Roger Torres,PHI,M,181,0,2,0,0.0,0.99,0,2,0,2012,reg
Adam Johansson,SEA,D,1834,0,2,0,0.0,0.1,2,1,0,2012,reg
Michael Stephens,LA ,M,724,0,2,3,0.0,0.25,1,1,0,2012,reg
Miguel Aceval,TOR,D,416,0,2,3,0.0,0.43,0,0,0,2012,reg
Brian Ownby,HOU,M,115,0,2,5,0.0,1.57,0,0,0,2012,reg
Darren O'Dea,TOR,D,810,0,2,5,0.0,0.22,0,2,0,2012,reg
Steven Smith,POR,D,1875,0,2,5,0.0,0.1,1,6,0,2012,reg
Nick Soolsma,TOR,F,324,0,2,6,0.0,0.56,0,0,0,2012,reg
Matt Besler,SKC,D,2769,0,2,7,0.0,0.07,1,3,0,2012,reg
Tristan Bowen,CHV,F,248,0,2,7,0.0,0.73,1,0,0,2012,reg
Chris Wingert,RSL,D,2603,0,2,8,0.0,0.07,2,7,0,2012,reg
Corey Ashe,HOU,M,2625,0,2,8,0.0,0.07,4,3,0,2012,reg
Richard Eckersley,TOR,D,2802,0,2,9,0.0,0.06,1,5,0,2012,reg
James Riley,CHV,D,2880,0,2,10,0.0,0.06,1,2,1,2012,reg
Geoff Cameron,HOU,D,1326,0,2,11,0.0,0.14,0,1,0,2012,reg
Tony Beltran,RSL,D,2857,0,2,12,0.0,0.06,3,4,0,2012,reg
Seth Sinovic,NE,D,2621,0,2,12,0.0,0.07,1,3,0,2012,reg
Ben Zemanski,CHV,M,1649,0,2,15,0.0,0.11,0,3,0,2012,reg
Roger Espinoza,SKC,M,2275,0,2,35,0.0,0.08,1,5,1,2012,reg
Dilly Duka,CLB,M,1073,0,2,36,0.0,0.17,0,3,0,2012,reg
Terukazu Tanaka,RSL,D,325,0,1,0,0.0,0.28,0,0,0,2012,reg
Michael Harrington,KC ,D,877,0,1,0,0.0,0.1,1,1,0,2012,reg
Stephen King,DC ,M,202,0,1,1,0.0,0.45,0,0,0,2012,reg
Adam Cristman,LA ,F,69,0,1,2,0.0,1.3,0,1,0,2012,reg
Peter Vagenas,CHV,M,842,0,1,2,0.0,0.11,1,1,0,2012,reg
Dennis Iapichino,MTL,D,438,0,1,2,0.0,0.21,0,2,0,2012,reg
Raymon Gaddis,PHI,D,1475,0,1,2,0.0,0.06,1,2,0,2012,reg
Eric Gehrig,CLB,D,812,0,1,2,0.0,0.11,0,1,0,2012,reg
Matt Stinson,TOR,M,89,0,1,2,0.0,1.01,0,0,0,2012,reg
Kofi Sarkodie,HOU,D,695,0,1,2,0.0,0.13,1,0,0,2012,reg
Blair Gavin,CHV,M,398,0,1,3,0.0,0.23,1,0,0,2012,reg
Federico Puppo,CHI,F,216,0,1,3,0.0,0.42,4,1,0,2012,reg
Cordell Cato,SEA,F,117,0,1,3,0.0,0.77,0,0,0,2012,reg
Warren Creavalle,PHI,M,479,0,1,3,0.0,0.19,0,0,0,2012,reg
Josh Wolff,DC ,F,223,0,1,3,0.0,0.4,2,1,0,2012,reg
Tyson Wahl,COL,D,1350,0,1,3,0.0,0.07,1,5,0,2012,reg
Jason Hernandez,SJ ,D,2090,0,1,3,0.0,0.04,0,1,2,2012,reg
Peterson Joseph,KC ,M,263,0,1,3,0.0,0.34,0,3,1,2012,reg
Teemu Tainio,NY ,M,782,0,1,4,0.0,0.12,0,2,0,2012,reg
Sam Garza,SJ ,M,102,0,1,4,0.0,0.88,0,1,0,2012,reg
Bryan Gaul,LA ,D,800,0,1,4,0.0,0.11,0,3,0,2012,reg
Omar Salgado,VAN,F,398,0,1,4,0.0,0.23,1,1,0,2012,reg
Kirk Urso,CLB,M,453,0,1,5,0.0,0.2,0,1,0,2012,reg
Cesar Romero,CHV,F,392,0,1,5,0.0,0.23,6,1,0,2012,reg
Florian Lechner,NE ,D,599,0,1,5,0.0,0.15,0,0,0,2012,reg
Lloyd Sam,NY ,M-F,164,0,1,5,0.0,0.55,2,1,0,2012,reg
Jhon Kennedy Hurtado,SEA,D,1791,0,1,5,0.0,0.05,0,1,1,2012,reg
Rauwshan McKenzie,CHV,D,1732,0,1,5,0.0,0.05,0,2,0,2012,reg
Jámison Olave,RSL,D,1734,0,1,6,0.0,0.05,0,5,1,2012,reg
Aaron Schoenfeld ,MIN,F,298,0,1,6,0.0,0.3,4,2,0,2012,reg
Gabriel Farfan,CHV,M,1960,0,1,6,0.0,0.05,2,5,1,2012,reg
Soony Saad,KC ,F,305,0,1,7,0.0,0.3,0,0,0,2012,reg
Stephen McCarthy,NE ,D,2308,0,1,7,0.0,0.04,1,2,1,2012,reg
Hanyer Mosquera ,POR,D,2092,0,1,8,0.0,0.04,1,4,0,2012,reg
Luis Zapata,COL,D,2336,0,1,8,0.0,0.04,0,2,0,2012,reg
Nelson Rivas,MTL,D,858,0,1,8,0.0,0.1,0,2,1,2012,reg
John Thorrington,VAN,M,1099,0,1,10,0.0,0.08,1,2,0,2012,reg
Jeb Brovsky,MTL,D,2233,0,1,10,0.0,0.04,1,1,1,2012,reg
Wells Thompson,CHI,D,664,0,1,11,0.0,0.14,2,1,0,2012,reg
Dan Gargan,CHI,D,1754,0,1,12,0.0,0.05,1,5,0,2012,reg
Perry Kitchen,LA,M,2804,0,1,12,0.0,0.03,1,2,0,2012,reg
Chris Schuler,RSL,D,944,0,1,12,0.0,0.1,0,2,0,2012,reg
Kevin Alston,NE ,D,2623,0,1,13,0.0,0.03,0,3,0,2012,reg
Justin Braun,MTL,F,581,0,1,14,0.0,0.15,9,0,0,2012,reg
Clyde Simms,NE ,M,2303,0,1,14,0.0,0.04,1,2,0,2012,reg
Amobi Okugo,PHI,D-M,2230,0,1,16,0.0,0.04,2,3,0,2012,reg
Jeff Parke,SEA,D,2568,0,1,17,0.0,0.04,0,3,0,2012,reg
Collen Warner,COL,M,2431,0,1,32,0.0,0.04,0,6,0,2012,reg
Steven Kinney,CHI,D,0,0,0,0,0.0,0.0,0,0,0,2012,reg
Mike Seamon,SEA,M-F,50,0,0,0,0.0,0.0,0,0,0,2012,reg
Russell Teibert,VAN,M,117,0,0,0,0.0,0.0,1,0,0,2012,reg
Rich Balchan,CLB,D,0,0,0,0,0.0,0.0,0,0,0,2012,reg
Nicholas Lindsay,TOR,F,0,0,0,0,0.0,0.0,0,0,0,2012,reg
Digao,NY ,D,0,0,0,0,0.0,0.0,0,0,0,2012,reg
Zach Pfeffer,PHI,M,4,0,0,0,0.0,0.0,0,0,0,2012,reg
Ross LaBauex,COL,M,79,0,0,0,0.0,0.0,1,0,0,2012,reg
Cody Arnoux,RSL,F,0,0,0,0,0.0,0.0,0,0,0,2012,reg
Matias Jara,DAL,F,0,0,0,0,0.0,0.0,0,0,0,2012,reg
